"LAKE_ID","WATER","html","X_Coordinate","Y_Coordinate"
"1303WAL0257","Walton Lake","report_Walton Lake(1303WAL0257).html",-74.22176,41.307981
"1303WAS0225","Lake Washington","report_Lake Washington(1303WAS0225).html",-74.071498,41.492732
"1304BEA0345A","Beacon Reservoir","report_Beacon Reservoir(1304BEA0345A).html",-73.88392,41.49031
"1304FUR0356","Furnace Pond","report_Furnace Pond(1304FUR0356).html",-73.696602,41.642601
"1304HIL0345G","Hillside Lake","report_Hillside Lake(1304HIL0345G).html",-73.796997,41.617599
"1304NUC5222","Nuclear Lake","report_Nuclear Lake(1304NUC5222).html",-73.64623,41.596222
"1304SYL0352","Sylvan Lake","report_Sylvan Lake(1304SYL0352).html",-73.74076,41.60798
"1304UWB0345P","Unnamed Water","report_Unnamed Water(1304UWB0345P).html",-73.852798,41.4809
"1304UWB0346A","Unnamed Water","report_Unnamed Water(1304UWB0346A).html",-73.798897,41.687
"1304WHA0353","Whaley Lake","report_Whaley Lake(1304WHA0353).html",-73.664902,41.5537
"1305HUN0403","Hunns Lake","report_Hunns Lake(1305HUN0403).html",-73.647568,41.901716
"1305MUD0410","Mud Pond","report_Mud Pond(1305MUD0410).html",-73.670146,41.979401
"1305STI0409","Stissing Pond","report_Stissing Pond(1305STI0409).html",-73.673599,41.971548
"1305UPT0384","Upton Lake","report_Upton Lake(1305UPT0384).html",-73.75245,41.847821
"1305WAP0365","Wappinger Lake","report_Wappinger Lake(1305WAP0365).html",-73.916653,41.605928
"1306AWO0781","Lake Awosting","report_Lake Awosting(1306AWO0781).html",-74.290398,41.7061
"1306BIN0735","Binnewater Pond","report_Binnewater Pond(1306BIN0735).html",-74.551345,41.409708
"1306GLE0668","Glenmere Lake","report_Glenmere Lake(1306GLE0668).html",-74.33002,41.335157
"1306HIG0492","Highland Lake","report_Highland Lake(1306HIG0492).html",-74.4813,41.451698
"1306KINXXX1","Kinch Pond","report_Kinch Pond(1306KINXXX1).html",-74.54208,41.4348
"1306MASXXX1","Masonic Creek","report_Masonic Creek(1306MASXXX1).html",-74.387089,41.462605
"1306MIL0515","Mill Pond","report_Mill Pond(1306MIL0515).html",-74.535301,41.4389
"1306MIN0775","Lake Minnewaska","report_Lake Minnewaska(1306MIN0775).html",-74.237848,41.72742
"1306MON0598","Monhagen Lake","report_Monhagen Lake(1306MON0598).html",-74.454201,41.458401
"1306MUD0780","Mud Pond","report_Mud Pond(1306MUD0780).html",-74.311897,41.693298
"1306RONXXX1","Rondout Creek","report_Rondout Creek(1306RONXXX1).html",-74.029968,41.885055
"1306SHA0491","Shawangunk Lake","report_Shawangunk Lake(1306SHA0491).html",-74.5009,41.445702
"1306SIL0807","Silver Lake","report_Silver Lake(1306SIL0807).html",-74.55167,41.70256
"1306STU0453A","Sturgeon Pool","report_Sturgeon Pool(1306STU0453A).html",-74.042602,41.843601
"1306TIL0464A","Tillson Lake","report_Tillson Lake(1306TIL0464A).html",-74.248299,41.672699
"1306ULS0799","Ulster Heights Lake","report_Ulster Heights Lake(1306ULS0799).html",-74.489601,41.772701
"1306UWB0464B","Unnamed Wallkill Pond","report_Unnamed Wallkill Pond(1306UWB0464B).html",-74.220398,41.650299
"1306UWB0576B","Unnamed Water","report_Unnamed Water(1306UWB0576B).html",-74.330101,41.5009
"1306UWB0576C","Unnamed Water","report_Unnamed Water(1306UWB0576C).html",-74.333,41.502701
"1306UWB5598","Unnamed Water","report_Unnamed Water(1306UWB5598).html",-74.339798,41.490299
"1306UWB6107","Winding Hills Park Lake","report_Winding Hills Park Lake(1306UWB6107).html",-74.275299,41.538799
"1306WALXXX1","Wallkill River","report_Wallkill River(1306WALXXX1).html",-74.245836,41.528288
"1306WIC0698","Wickham Lake","report_Wickham Lake(1306WIC0698).html",-74.29029,41.28242
"1308LONXXX1","Long Pond","report_Long Pond(1308LONXXX1).html",-73.591197,42.069143
"1308LRH0888","Lower Rhoda Pond","report_Lower Rhoda Pond(1308LRH0888).html",-73.594101,42.079399
"1308ORE0899","Ore Pit Pond","report_Ore Pit Pond(1308ORE0899).html",-73.517998,42.122398
"1308ROB0902","Robinson Pond","report_Robinson Pond(1308ROB0902).html",-73.555298,42.118099
"1308TAG0869","Lake Taghkanic","report_Lake Taghkanic(1308TAG0869).html",-73.709503,42.091202
"1308WEE0896A","Weed Mines Pond","report_Weed Mines Pond(1308WEE0896A).html",-73.531601,42.074902
"1308WILXXX1A","Wilcox Park Pond South","report_Wilcox Park Pond South(1308WILXXX1A).html",-73.727661,41.955585
"1308WILXXX1B","Wilcox Park Pond North","report_Wilcox Park Pond North(1308WILXXX1B).html",-73.726777,41.953801
"1309BAS0950A","Basic Creek Reservoir","report_Basic Creek Reservoir(1309BAS0950A).html",-74.01627,42.484822
"1309GRE0924","Green Lake","report_Green Lake(1309GRE0924).html",-73.884634,42.285584
"1309HOL0913","Hollister Lake","report_Hollister Lake(1309HOL0913).html",-73.88567,42.31098
"1309MYO0954","Myosotis Lake","report_Myosotis Lake(1309MYO0954).html",-74.1502,42.520199
"1309NOR6398","North-South Lake","report_North-South Lake(1309NOR6398).html",-74.044975,42.19711
"1310BLA0N80B","Black River Pond","report_Black River Pond(1310BLA0N80B).html",-73.409599,42.617699
"1310COP0108","Copake Lake","report_Copake Lake(1310COP0108).html",-73.595497,42.144001
"1310KIN0024","Kinderhook Lake","report_Kinderhook Lake(1310KIN0024).html",-73.660103,42.452599
"1310MOO0124A","Moore Pond","report_Moore Pond(1310MOO0124A).html",-73.651649,42.235879
"1310NAS0034","Nassau Lake","report_Nassau Lake(1310NAS0034).html",-73.604845,42.53775
"1310QUE0057","Queechy Lake","report_Queechy Lake(1310QUE0057).html",-73.414703,42.4072
"1310ROU0080","Round Pond","report_Round Pond(1310ROU0080).html",-73.435612,42.644692
"1310SMI0042","Smith Pond","report_Smith Pond(1310SMI0042).html",-73.607436,42.364879
"1310SPR0081","Spring Lake","report_Spring Lake(1310SPR0081).html",-73.421501,42.6535
"1310SUT0052","Southerland Pond","report_Southerland Pond(1310SUT0052).html",-73.56952,42.40049
"1310VALXXX1","Valatie Kill","report_Valatie Kill(1310VALXXX1).html",-73.60809,42.521009
"1311DUA0276A","Duane Lake","report_Duane Lake(1311DUA0276A).html",-74.112602,42.7491
"1311MIL0289","Mill Pond","report_Mill Pond(1311MIL0289).html",-74.131839,42.764971
"1311PRIVXXX1","Unnamed Pond Raber","report_Unnamed Pond Raber(1311PRIVXXX1).html",-74.045567,42.634986
"1311THO0274","Thompsons Lake","report_Thompsons Lake(1311THO0274).html",-74.042198,42.649601
"1311UWB6877","Unnamed Water","report_Unnamed Water(1311UWB6877).html",-74.033107,42.670213
"1311WAT0270","Watervliet Reservoir","report_Watervliet Reservoir(1311WAT0270).html",-73.96191,42.7108
"1401ANA0251","Lake Anawanda","report_Lake Anawanda(1401ANA0251).html",-74.96345,41.85738
"1401BLA0103","Black Lake","report_Black Lake(1401BLA0103).html",-74.86122,41.65585
"1401BOD0185","Bodine Lake","report_Bodine Lake(1401BOD0185).html",-74.927638,41.52161
"1401BRI0241","Briscoe Lake","report_Briscoe Lake(1401BRI0241).html",-74.873283,41.764494
"1401BUR0082","Burnt Hope Lake","report_Burnt Hope Lake(1401BUR0082).html",-74.7429,41.52627
"1401CHA0173A","Lake Champion","report_Lake Champion(1401CHA0173A).html",-74.82829778,41.51714736
"1401CHE0106","Chestnut Ridge Pond","report_Chestnut Ridge Pond(1401CHE0106).html",-74.887299,41.677601
"1401CLI0100","Cliff Lake","report_Cliff Lake(1401CLI0100).html",-74.794117,41.58414
"1401CRY0197","Crystal Lake","report_Crystal Lake(1401CRY0197).html",-74.905226,41.624278
"1401CRY0260","Crystal Lake","report_Crystal Lake(1401CRY0260).html",-75.026901,41.8731
"1401DAV0209","Davis Pond","report_Davis Pond(1401DAV0209).html",-74.981861,41.572194
"1401DEV0174","Lake Devenoge","report_Lake Devenoge(1401DEV0174).html",-74.839401,41.521
"1401FOX0192","Fox Lake","report_Fox Lake(1401FOX0192).html",-74.938045,41.592402
"1401HAL0193","Halfmoon Lake","report_Halfmoon Lake(1401HAL0193).html",-74.943881,41.597697
