LakeID,Y_Coordinate,X_Coordinate
1702BEE1085,40.9321,-73.7787
1203BEE0892,43.4817,-74.6667
1104BEL0681A,43.9730,-74.1770
0801BEL0423,43.9270,-75.3298
1104BEL0212A,43.3445,-73.9373
1104BEL0592,43.7712,-74.1584
1104BEL0615,43.5604,-74.4936
1201BEL0734,43.1804,-74.4613
1701BEL0637,40.8803,-72.5588
1310BEL0100,42.1745,-73.7549
1701BEL0949,40.7353,-73.3429
0601BEL0376,42.7469,-74.7569
1104BEN0182,43.3160,-74.1935
1104BEN0355,43.6807,-73.6722
0902BEN0098A,44.5398,-74.5234
0906BEN0025,44.1676,-75.4015
0902BEN0221,44.5153,-74.4546
1104BER0328A,43.4007,-73.7628
1104BER5453,43.9647,-73.6642
1005BER0356,43.8104,-73.5831
0902BES0146,44.3805,-74.3839
0902BIC5199,44.3980,-74.3149
1201BIG0790,43.3253,-74.7051
1104BAD0585,43.7920,-74.1707
1301BOW0444,42.6483,-73.4880
1004CHE0241,44.2910,-73.9443
0801CHI0776,43.8302,-74.8292
0905DEE0360,44.0684,-74.8385
0801DIA0733,43.7875,-74.9554
0902DUC0025,44.7019,-74.3408
0905FIV0349,44.0509,-74.9549
1701FRE0661,40.9222,-72.4188
0905HIL0144,44.1297,-75.2741
1006BIG5292,43.4307,-73.7572
1003HOP0059,44.5138,-74.1267
1005LOC0346,44.0168,-73.5842
1104BIG0396,43.9144,-73.8637
1104MAR0454,43.9769,-73.7741
1203MET0821,43.2995,-74.7198
0801MOO0752,43.8252,-74.8623
0801OTT0676,43.7316,-75.1037
1003PIN0098,44.2650,-74.1437
1403BIG0345,42.0468,-74.7239
1401BIG0075,41.4682,-74.6610
1104BIG0406,43.8551,-73.8231
1004BIG0288,44.2867,-73.5546
1701REE0763,41.0781,-71.9101
1203ROC0883,43.4462,-74.6970
0905SHA0345,44.0519,-74.9487
1104SHE0383,43.8259,-73.9817
1104BIG0395,43.8366,-73.9058
0801BIL0630,43.8433,-75.1494
1201BIL0776,43.3040,-74.7058
1306BIN0735,41.4103,-74.5512
0103BIP5370,42.8728,-78.5690
1104BIR0495,44.0999,-73.6352
1401BIR0236,41.7493,-74.9044
0201BIR5676,42.0882,-78.5607
1401BIR0109,41.6011,-74.7570
1104BIR0523,43.7248,-73.9352
