row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
97,0303LIG0018A,Lighthouse Hill Reservoir,-75.96774,43.52464,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lighthouse%20Hill%20Reservoir(0303LIG0018A).html?csf=1&e=Xxz1fg,available
98,0303LON0049,Long Pond,-75.9605,43.43404,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Long%20Pond(0303LON0049).html?csf=1&e=Xxz1fg,available
99,0303LOR0009,Lorton Lake,-75.89079,43.50374,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lorton%20Lake(0303LOR0009).html?csf=1&e=Xxz1fg,available
100,0303MOS0031A,Mosher Pond,-76.009,43.4679,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Mosher%20Pond(0303MOS0031A).html?csf=1&e=Xxz1fg,available
101,0303NCO1039B,North Colwell Pond,-76.19812,43.70735,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_North%20Colwell%20Pond(0303NCO1039B).html?csf=1&e=Xxz1fg,available
102,0303NOR1041,North Sandy Pond,-76.176,43.6535,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_North%20Sandy%20Pond(0303NOR1041).html?csf=1&e=Xxz1fg,available
103,0303SAL0019A,Salmon River Reservoir,-75.54662,43.54662,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Salmon%20River%20Reservoir(0303SAL0019A).html?csf=1&e=Xxz1fg,available
104,0303SCO1039A,South Colwell Pond,-76.19473,43.70102,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_South%20Colwell%20Pond(0303SCO1039A).html?csf=1&e=Xxz1fg,available
105,0303SIX1030,Sixtown Pond,-76.1269,43.829,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Sixtown%20Pond(0303SIX1030).html?csf=1&e=Xxz1fg,available
106,0303SOU0001,South Sandy Pond,-76.19037,43.62339,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_South%20Sandy%20Pond(0303SOU0001).html?csf=1&e=Xxz1fg,available
107,0303UWB5011,Lower Pool Perch Lake,-76.00409,44.07506,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lower%20Pool%20Perch%20Lake(0303UWB5011).html?csf=1&e=Xxz1fg,available
108,0303WHI0048A,Whitney Pond,-75.99302,43.42768,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Whitney%20Pond(0303WHI0048A).html?csf=1&e=Xxz1fg,available
109,0402BLU0011,Blue Pond,-77.8215,43.02818,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Blue%20Pond(0402BLU0011).html?csf=1&e=Xxz1fg,available
110,0402CAN0043,Canadice Lake,-77.5681,42.71743,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Canadice%20Lake(0402CAN0043).html?csf=1&e=Xxz1fg,available
112,0402CON0067,Conesus Lake,-77.7187,42.7522,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Conesus%20Lake(0402CON0067).html?csf=1&e=Xxz1fg,available
114,0402HEM0044,Hemlock Lake,-77.61055,42.71993,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hemlock%20Lake(0402HEM0044).html?csf=1&e=Xxz1fg,available
