LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
230,Kirk Lake,Putnam,Carmel,1302KIR0052,41.3856,-73.7498,,,,,,
,Kissena Lake,Queens,Queens,1702KIS0076,40.7481,-73.8055,,,,,,
,Lake Alice,Clinton,Chazy,1002ALI5018,44.8672,-73.4847,,,,,,
76,Lake Alice,Orleans,Carlton,0301WAT0166,43.3213,-78.2585,,,,,,
50,Lake Bonaparte,Lewis,Harrisville,0906BON0024,44.1475,-75.3822,,,,,,
2,Lake Carmel,Putnam,Carmel,1302CAR0062A,41.4585,-73.665,,,,,,
,Lake Casse,Putnam,Carmel,1302CAS0059B,41.3863,-73.71,,,,,,
105,Lake Celeste,Putnam,Putnam Valley,1301CEL0166,41.3636,-73.9002,,,,,,
146,Lake Clear,Franklin,Harrietstown,1003CLE0199,44.3692,-74.2523,,,,,,
157,Lake Colby,Franklin,Harrietstown,1003COL0106,44.3429,-74.1532,,,,,,
45,Lake Como,Cayuga,Summerhill,0705COM0333,42.6772,-76.3025,,,,,,
130,Lake Demons,Steuben,Howard,0502DEM0068,42.3477,-77.4779,,,,,,
243,Lake DeVenoge,Sullivan,"Lumberland, Highland",1401DEV0174,41.521,-74.8394,,,,,,
,Lake Durand,Hamilton,,0302DUR0148A,43.2333,-77.5576,,,,,,
,Lake Eaton,Hamilton,Long Lake,0903EAT0248,43.9789,-74.4664,,,,,,
177,Lake Forest,Warren,Lake Luzerne,1104FOR0340,43.5649,-73.7703,,,,,,
199,Lake George,Warren,Hague,1006UWB5296,43.5545,-73.6576,,,,,,
199.04,Lake George-Basin Bay,Warren,Bolton,1006CRA0380,43.552,-73.6779,,,,,,
199.06,Lake George-Crown Island,Warren,Bolton,1006UWB5296,43.5545,-73.6576,,,,,,
199.02,Lake George-Diamond Island,Warren,Lake George,1006UWB5274,43.4566,-73.7151,,,,,,
199.23,Lake George-Gull Bay,Warren,Hague,1006MUD0369,43.7261,-73.4456,,,,,,
199.03,Lake George-Harris Bay,Warren,Lake George,,,,,,,,,
199.24,Lake George-Hearts Bay,Essex,Ticonderoga,1005UWB0397,43.8092,-73.4673,,,,,,
199.21,Lake George-Huletts Landing,Warren,Dresden,1006GEO0367,43.6539,-73.4988,,,,,,
191,Lake Gerry,Chenango,Oxford,0602GER0097,42.4458,-75.5494,,,,,,
